# pixel	lambda_nm	raman_cm1
208.000000	542.649495	368.890917
209.000000	542.716392	371.162441
210.000000	542.783290	373.433405
211.000000	542.850187	375.703810
212.000000	542.917084	377.973655
213.000000	542.983982	380.242941
214.000000	543.050879	382.511668
215.000000	543.117777	384.779835
216.000000	543.184674	387.047445
217.000000	543.251572	389.314495
218.000000	543.318469	391.580988
219.000000	543.385367	393.846922
220.000000	543.452264	396.112298
221.000000	543.519162	398.377117
222.000000	543.586059	400.641378
223.000000	543.652957	402.905083
224.000000	543.719854	405.168230
225.000000	543.786752	407.430820
226.000000	543.853649	409.692853
227.000000	543.920547	411.954331
228.000000	543.987444	414.215252
229.000000	544.054342	416.475617
230.000000	544.121239	418.735426
231.000000	544.188136	420.994679
232.000000	544.255034	423.253378
233.000000	544.321931	425.511520
234.000000	544.388829	427.769108
235.000000	544.455726	430.026142
236.000000	544.522624	432.282620
237.000000	544.589521	434.538545
238.000000	544.656419	436.793915
239.000000	544.723316	439.048731
240.000000	544.790214	441.302993
241.000000	544.857111	443.556702
242.000000	544.924009	445.809857
243.000000	544.990906	448.062460
244.000000	545.057804	450.314509
245.000000	545.124701	452.566006
246.000000	545.191599	454.816950
247.000000	545.258496	457.067342
248.000000	545.325394	459.317181
249.000000	545.392291	461.566469
250.000000	545.459189	463.815205
251.000000	545.526086	466.063389
252.000000	545.592983	468.311022
253.000000	545.659881	470.558104
254.000000	545.726778	472.804635
255.000000	545.793676	475.050616
256.000000	545.860573	477.296046
257.000000	545.927471	479.540925
258.000000	545.994368	481.785255
259.000000	546.061266	484.029034
260.000000	546.128163	486.272264
261.000000	546.195061	488.514945
262.000000	546.261958	490.757076
263.000000	546.328856	492.998658
264.000000	546.395753	495.239691
265.000000	546.462651	497.480175
266.000000	546.529548	499.720111
267.000000	546.596446	501.959499
268.000000	546.663343	504.198338
269.000000	546.730241	506.436630
270.000000	546.797138	508.674374
271.000000	546.864035	510.911570
272.000000	546.930933	513.148219
273.000000	546.997830	515.384322
274.000000	547.064728	517.619877
275.000000	547.131625	519.854885
276.000000	547.198523	522.089347
277.000000	547.265420	524.323263
278.000000	547.332318	526.556633
279.000000	547.399215	528.789457
280.000000	547.466113	531.021735
281.000000	547.533010	533.253468
282.000000	547.599908	535.484655
283.000000	547.666805	537.715297
284.000000	547.733703	539.945395
285.000000	547.800600	542.174948
286.000000	547.867498	544.403956
287.000000	547.934395	546.632420
288.000000	548.001293	548.860340
289.000000	548.068190	551.087716
290.000000	548.135087	553.314548
291.000000	548.201985	555.540837
292.000000	548.268882	557.766583
293.000000	548.335780	559.991785
294.000000	548.402677	562.216445
295.000000	548.469575	564.440562
296.000000	548.536472	566.664136
297.000000	548.603370	568.887168
298.000000	548.670267	571.109658
299.000000	548.737165	573.331607
300.000000	548.804062	575.553013
301.000000	548.870960	577.773878
302.000000	548.937857	579.994202
303.000000	549.004755	582.213984
304.000000	549.071652	584.433226
305.000000	549.138550	586.651927
306.000000	549.205447	588.870087
307.000000	549.272345	591.087707
308.000000	549.339242	593.304787
309.000000	549.406140	595.521327
310.000000	549.473037	597.737328
311.000000	549.539934	599.952789
312.000000	549.606832	602.167710
313.000000	549.673729	604.382093
314.000000	549.740627	606.595936
315.000000	549.807524	608.809241
316.000000	549.874422	611.022007
317.000000	549.941319	613.234235
318.000000	550.008217	615.445924
319.000000	550.075114	617.657076
320.000000	550.142012	619.867690
321.000000	550.208909	622.077767
322.000000	550.275807	624.287306
323.000000	550.342704	626.496308
324.000000	550.409602	628.704773
325.000000	550.476499	630.912701
326.000000	550.543397	633.120092
327.000000	550.610294	635.326947
328.000000	550.677192	637.533267
329.000000	550.744089	639.739050
330.000000	550.810986	641.944297
331.000000	550.877884	644.149008
332.000000	550.944781	646.353185
333.000000	551.011679	648.556826
334.000000	551.078576	650.759932
335.000000	551.145474	652.962503
336.000000	551.212371	655.164539
337.000000	551.279269	657.366041
338.000000	551.346166	659.567009
339.000000	551.413064	661.767443
340.000000	551.479961	663.967343
341.000000	551.546859	666.166709
342.000000	551.613756	668.365542
343.000000	551.680654	670.563842
344.000000	551.747551	672.761608
345.000000	551.814449	674.958842
346.000000	551.881346	677.155543
347.000000	551.948244	679.351712
348.000000	552.015141	681.547348
349.000000	552.082038	683.742452
350.000000	552.148936	685.937024
351.000000	552.215833	688.131064
352.000000	552.282731	690.324573
353.000000	552.349628	692.517551
354.000000	552.416526	694.709997
355.000000	552.483423	696.901913
356.000000	552.550321	699.093298
357.000000	552.617218	701.284152
358.000000	552.684116	703.474476
359.000000	552.751013	705.664269
360.000000	552.817911	707.853533
361.000000	552.884808	710.042267
362.000000	552.951706	712.230471
363.000000	553.018603	714.418146
364.000000	553.085501	716.605292
365.000000	553.152398	718.791908
366.000000	553.219296	720.977996
367.000000	553.286193	723.163555
368.000000	553.353091	725.348586
369.000000	553.419988	727.533089
370.000000	553.486885	729.717063
371.000000	553.553783	731.900509
372.000000	553.620680	734.083428
373.000000	553.687578	736.265820
374.000000	553.754475	738.447684
375.000000	553.821373	740.629021
376.000000	553.888270	742.809831
377.000000	553.955168	744.990114
378.000000	554.022065	747.169871
379.000000	554.088963	749.349101
380.000000	554.155860	751.527806
381.000000	554.222758	753.705984
382.000000	554.289655	755.883637
383.000000	554.356553	758.060764
384.000000	554.423450	760.237365
385.000000	554.490348	762.413442
386.000000	554.557245	764.588993
387.000000	554.624143	766.764020
388.000000	554.691040	768.938522
389.000000	554.757937	771.112499
390.000000	554.824835	773.285952
391.000000	554.891732	775.458882
392.000000	554.958630	777.631287
393.000000	555.025527	779.803169
394.000000	555.092425	781.974527
395.000000	555.159322	784.145362
396.000000	555.226220	786.315673
397.000000	555.293117	788.485462
398.000000	555.360015	790.654728
399.000000	555.426912	792.823472
400.000000	555.493810	794.991693
401.000000	555.560707	797.159392
402.000000	555.627605	799.326569
403.000000	555.694502	801.493224
404.000000	555.761400	803.659358
405.000000	555.828297	805.824970
406.000000	555.895195	807.990061
407.000000	555.962092	810.154631
408.000000	556.028989	812.318680
409.000000	556.095887	814.482209
410.000000	556.162784	816.645216
411.000000	556.229682	818.807704
412.000000	556.296579	820.969672
413.000000	556.363477	823.131119
414.000000	556.430374	825.292047
415.000000	556.497272	827.452456
416.000000	556.564169	829.612345
417.000000	556.631067	831.771715
418.000000	556.697964	833.930565
419.000000	556.764862	836.088898
420.000000	556.831759	838.246711
421.000000	556.898657	840.404006
422.000000	556.965554	842.560783
423.000000	557.032452	844.717042
424.000000	557.099349	846.872783
425.000000	557.166247	849.028006
426.000000	557.233144	851.182712
427.000000	557.300042	853.336900
428.000000	557.366939	855.490572
429.000000	557.433836	857.643726
430.000000	557.500734	859.796364
431.000000	557.567631	861.948485
432.000000	557.634529	864.100090
433.000000	557.701426	866.251179
434.000000	557.768324	868.401751
435.000000	557.835221	870.551808
436.000000	557.902119	872.701350
437.000000	557.969016	874.850375
438.000000	558.035914	876.998886
439.000000	558.102811	879.146881
440.000000	558.169709	881.294362
441.000000	558.236606	883.441328
442.000000	558.303504	885.587779
443.000000	558.370401	887.733716
444.000000	558.437299	889.879139
445.000000	558.504196	892.024048
446.000000	558.571094	894.168443
447.000000	558.637991	896.312325
448.000000	558.704888	898.455693
449.000000	558.771786	900.598548
450.000000	558.838683	902.740890
451.000000	558.905581	904.882719
452.000000	558.972478	907.024036
453.000000	559.039376	909.164840
454.000000	559.106273	911.305131
455.000000	559.173171	913.444911
456.000000	559.240068	915.584179
457.000000	559.306966	917.722934
458.000000	559.373863	919.861179
459.000000	559.440761	921.998912
460.000000	559.507658	924.136133
461.000000	559.574556	926.272844
462.000000	559.641453	928.409044
463.000000	559.708351	930.544733
464.000000	559.775248	932.679912
465.000000	559.842146	934.814581
466.000000	559.909043	936.948739
467.000000	559.975940	939.082387
468.000000	560.042838	941.215526
469.000000	560.109735	943.348155
470.000000	560.176633	945.480275
471.000000	560.243530	947.611886
472.000000	560.310428	949.742988
473.000000	560.377325	951.873580
474.000000	560.444223	954.003665
475.000000	560.511120	956.133240
476.000000	560.578018	958.262308
477.000000	560.644915	960.390867
478.000000	560.711813	962.518919
479.000000	560.778710	964.646463
480.000000	560.845608	966.773499
481.000000	560.912505	968.900028
482.000000	560.979403	971.026049
483.000000	561.046300	973.151564
484.000000	561.113198	975.276572
485.000000	561.180095	977.401073
486.000000	561.246993	979.525068
487.000000	561.313890	981.648556
488.000000	561.380787	983.771539
489.000000	561.447685	985.894015
490.000000	561.514582	988.015986
491.000000	561.581480	990.137451
492.000000	561.648377	992.258411
493.000000	561.715275	994.378865
494.000000	561.782172	996.498815
495.000000	561.849070	998.618260
496.000000	561.915967	1000.737200
497.000000	561.982865	1002.855635
498.000000	562.049762	1004.973567
499.000000	562.116660	1007.090994
500.000000	562.183557	1009.207917
501.000000	562.250455	1011.324337
502.000000	562.317352	1013.440253
503.000000	562.384250	1015.555666
504.000000	562.451147	1017.670575
505.000000	562.518045	1019.784981
506.000000	562.584942	1021.898885
507.000000	562.651839	1024.012286
508.000000	562.718737	1026.125184
509.000000	562.785634	1028.237580
510.000000	562.852532	1030.349474
511.000000	562.919429	1032.460866
512.000000	562.986327	1034.571756
513.000000	563.053224	1036.682145
514.000000	563.120122	1038.792032
515.000000	563.187019	1040.901418
516.000000	563.253917	1043.010303
517.000000	563.320814	1045.118687
518.000000	563.387712	1047.226570
519.000000	563.454609	1049.333952
520.000000	563.521507	1051.440835
521.000000	563.588404	1053.547217
522.000000	563.655302	1055.653099
523.000000	563.722199	1057.758482
524.000000	563.789097	1059.863364
525.000000	563.855994	1061.967748
526.000000	563.922891	1064.071632
527.000000	563.989789	1066.175017
528.000000	564.056686	1068.277903
529.000000	564.123584	1070.380290
530.000000	564.190481	1072.482179
531.000000	564.257379	1074.583569
532.000000	564.324276	1076.684461
533.000000	564.391174	1078.784855
534.000000	564.458071	1080.884751
535.000000	564.524969	1082.984150
536.000000	564.591866	1085.083051
537.000000	564.658764	1087.181454
538.000000	564.725661	1089.279361
539.000000	564.792559	1091.376770
540.000000	564.859456	1093.473683
541.000000	564.926354	1095.570099
542.000000	564.993251	1097.666019
543.000000	565.060149	1099.761442
544.000000	565.127046	1101.856370
545.000000	565.193944	1103.950801
546.000000	565.260841	1106.044736
547.000000	565.327738	1108.138177
548.000000	565.394636	1110.231121
549.000000	565.461533	1112.323571
550.000000	565.528431	1114.415525
551.000000	565.595328	1116.506985
552.000000	565.662226	1118.597949
553.000000	565.729123	1120.688420
554.000000	565.796021	1122.778396
555.000000	565.862918	1124.867878
556.000000	565.929816	1126.956865
557.000000	565.996713	1129.045359
558.000000	566.063611	1131.133360
559.000000	566.130508	1133.220867
560.000000	566.197406	1135.307880
561.000000	566.264303	1137.394401
562.000000	566.331201	1139.480429
563.000000	566.398098	1141.565963
564.000000	566.464996	1143.651006
565.000000	566.531893	1145.735555
566.000000	566.598790	1147.819613
567.000000	566.665688	1149.903179
568.000000	566.732585	1151.986252
569.000000	566.799483	1154.068834
570.000000	566.866380	1156.150925
571.000000	566.933278	1158.232524
572.000000	567.000175	1160.313631
573.000000	567.067073	1162.394248
574.000000	567.133970	1164.474374
575.000000	567.200868	1166.554009
576.000000	567.267765	1168.633154
577.000000	567.334663	1170.711809
578.000000	567.401560	1172.789973
579.000000	567.468458	1174.867647
580.000000	567.535355	1176.944832
581.000000	567.602253	1179.021527
582.000000	567.669150	1181.097732
583.000000	567.736048	1183.173448
584.000000	567.802945	1185.248675
585.000000	567.869842	1187.323413
586.000000	567.936740	1189.397663
587.000000	568.003637	1191.471423
588.000000	568.070535	1193.544696
589.000000	568.137432	1195.617480
590.000000	568.204330	1197.689776
591.000000	568.271227	1199.761584
592.000000	568.338125	1201.832904
593.000000	568.405022	1203.903737
594.000000	568.471920	1205.974082
595.000000	568.538817	1208.043940
596.000000	568.605715	1210.113311
597.000000	568.672612	1212.182196
598.000000	568.739510	1214.250593
599.000000	568.806407	1216.318504
600.000000	568.873305	1218.385929
601.000000	568.940202	1220.452867
602.000000	569.007100	1222.519320
603.000000	569.073997	1224.585286
604.000000	569.140895	1226.650767
605.000000	569.207792	1228.715763
606.000000	569.274689	1230.780273
607.000000	569.341587	1232.844298
608.000000	569.408484	1234.907838
609.000000	569.475382	1236.970893
610.000000	569.542279	1239.033463
611.000000	569.609177	1241.095549
612.000000	569.676074	1243.157151
613.000000	569.742972	1245.218268
614.000000	569.809869	1247.278902
615.000000	569.876767	1249.339052
616.000000	569.943664	1251.398718
617.000000	570.010562	1253.457901
618.000000	570.077459	1255.516600
619.000000	570.144357	1257.574817
620.000000	570.211254	1259.632550
621.000000	570.278152	1261.689801
622.000000	570.345049	1263.746569
623.000000	570.411947	1265.802854
624.000000	570.478844	1267.858658
