# pixel	lambda_nm	raman_cm1
899.000000	588.875650	1815.478628
900.000000	588.942547	1817.407543
901.000000	589.009444	1819.336021
902.000000	589.076342	1821.264060
903.000000	589.143239	1823.191662
904.000000	589.210137	1825.118825
905.000000	589.277034	1827.045551
906.000000	589.343932	1828.971840
907.000000	589.410829	1830.897692
908.000000	589.477727	1832.823106
909.000000	589.544624	1834.748083
910.000000	589.611522	1836.672624
911.000000	589.678419	1838.596728
912.000000	589.745317	1840.520395
913.000000	589.812214	1842.443626
914.000000	589.879112	1844.366421
915.000000	589.946009	1846.288780
916.000000	590.012907	1848.210703
917.000000	590.079804	1850.132190
918.000000	590.146702	1852.053241
919.000000	590.213599	1853.973857
920.000000	590.280496	1855.894038
921.000000	590.347394	1857.813783
922.000000	590.414291	1859.733094
923.000000	590.481189	1861.651969
924.000000	590.548086	1863.570410
925.000000	590.614984	1865.488416
926.000000	590.681881	1867.405988
927.000000	590.748779	1869.323125
928.000000	590.815676	1871.239828
929.000000	590.882574	1873.156098
930.000000	590.949471	1875.071933
931.000000	591.016369	1876.987335
932.000000	591.083266	1878.902303
933.000000	591.150164	1880.816838
934.000000	591.217061	1882.730939
935.000000	591.283959	1884.644607
936.000000	591.350856	1886.557843
937.000000	591.417754	1888.470645
938.000000	591.484651	1890.383015
939.000000	591.551548	1892.294952
940.000000	591.618446	1894.206457
941.000000	591.685343	1896.117530
942.000000	591.752241	1898.028171
943.000000	591.819138	1899.938379
944.000000	591.886036	1901.848156
945.000000	591.952933	1903.757501
946.000000	592.019831	1905.666415
947.000000	592.086728	1907.574897
948.000000	592.153626	1909.482948
949.000000	592.220523	1911.390568
950.000000	592.287421	1913.297758
951.000000	592.354318	1915.204516
952.000000	592.421216	1917.110844
953.000000	592.488113	1919.016741
954.000000	592.555011	1920.922208
955.000000	592.621908	1922.827244
956.000000	592.688806	1924.731851
957.000000	592.755703	1926.636028
958.000000	592.822601	1928.539775
959.000000	592.889498	1930.443092
960.000000	592.956395	1932.345980
961.000000	593.023293	1934.248439
962.000000	593.090190	1936.150468
963.000000	593.157088	1938.052069
964.000000	593.223985	1939.953240
965.000000	593.290883	1941.853983
966.000000	593.357780	1943.754297
967.000000	593.424678	1945.654183
968.000000	593.491575	1947.553640
969.000000	593.558473	1949.452669
970.000000	593.625370	1951.351271
971.000000	593.692268	1953.249444
972.000000	593.759165	1955.147190
973.000000	593.826063	1957.044508
974.000000	593.892960	1958.941398
975.000000	593.959858	1960.837862
976.000000	594.026755	1962.733898
977.000000	594.093653	1964.629507
978.000000	594.160550	1966.524689
979.000000	594.227447	1968.419445
980.000000	594.294345	1970.313774
981.000000	594.361242	1972.207677
982.000000	594.428140	1974.101153
983.000000	594.495037	1975.994203
984.000000	594.561935	1977.886827
985.000000	594.628832	1979.779026
986.000000	594.695730	1981.670798
987.000000	594.762627	1983.562145
988.000000	594.829525	1985.453067
989.000000	594.896422	1987.343563
990.000000	594.963320	1989.233635
991.000000	595.030217	1991.123281
992.000000	595.097115	1993.012502
993.000000	595.164012	1994.901299
994.000000	595.230910	1996.789671
995.000000	595.297807	1998.677619
996.000000	595.364705	2000.565142
997.000000	595.431602	2002.452242
998.000000	595.498499	2004.338917
999.000000	595.565397	2006.225168
1000.000000	595.632294	2008.110996
1001.000000	595.699192	2009.996401
1002.000000	595.766089	2011.881381
1003.000000	595.832987	2013.765939
1004.000000	595.899884	2015.650073
1005.000000	595.966782	2017.533785
1006.000000	596.033679	2019.417073
1007.000000	596.100577	2021.299939
1008.000000	596.167474	2023.182382
1009.000000	596.234372	2025.064403
1010.000000	596.301269	2026.946002
1011.000000	596.368167	2028.827178
1012.000000	596.435064	2030.707933
1013.000000	596.501962	2032.588265
1014.000000	596.568859	2034.468176
1015.000000	596.635757	2036.347666
1016.000000	596.702654	2038.226734
1017.000000	596.769552	2040.105380
1018.000000	596.836449	2041.983606
1019.000000	596.903346	2043.861410
1020.000000	596.970244	2045.738794
1021.000000	597.037141	2047.615757
1022.000000	597.104039	2049.492299
1023.000000	597.170936	2051.368421
1024.000000	597.237834	2053.244122
1025.000000	597.304731	2055.119404
1026.000000	597.371629	2056.994265
1027.000000	597.438526	2058.868707
1028.000000	597.505424	2060.742729
1029.000000	597.572321	2062.616331
1030.000000	597.639219	2064.489514
1031.000000	597.706116	2066.362277
1032.000000	597.773014	2068.234622
1033.000000	597.839911	2070.106547
1034.000000	597.906809	2071.978053
1035.000000	597.973706	2073.849141
1036.000000	598.040604	2075.719810
1037.000000	598.107501	2077.590061
1038.000000	598.174398	2079.459893
1039.000000	598.241296	2081.329307
1040.000000	598.308193	2083.198303
1041.000000	598.375091	2085.066881
1042.000000	598.441988	2086.935042
1043.000000	598.508886	2088.802784
1044.000000	598.575783	2090.670110
1045.000000	598.642681	2092.537018
1046.000000	598.709578	2094.403508
1047.000000	598.776476	2096.269582
1048.000000	598.843373	2098.135239
1049.000000	598.910271	2100.000479
1050.000000	598.977168	2101.865302
1051.000000	599.044066	2103.729709
1052.000000	599.110963	2105.593699
1053.000000	599.177861	2107.457274
1054.000000	599.244758	2109.320432
1055.000000	599.311656	2111.183174
1056.000000	599.378553	2113.045500
1057.000000	599.445450	2114.907411
1058.000000	599.512348	2116.768906
1059.000000	599.579245	2118.629986
1060.000000	599.646143	2120.490651
1061.000000	599.713040	2122.350900
1062.000000	599.779938	2124.210735
1063.000000	599.846835	2126.070154
1064.000000	599.913733	2127.929159
1065.000000	599.980630	2129.787750
1066.000000	600.047528	2131.645926
1067.000000	600.114425	2133.503687
1068.000000	600.181323	2135.361035
1069.000000	600.248220	2137.217969
1070.000000	600.315118	2139.074488
1071.000000	600.382015	2140.930594
1072.000000	600.448913	2142.786287
1073.000000	600.515810	2144.641566
1074.000000	600.582708	2146.496431
1075.000000	600.649605	2148.350884
1076.000000	600.716503	2150.204923
1077.000000	600.783400	2152.058550
1078.000000	600.850297	2153.911763
1079.000000	600.917195	2155.764564
1080.000000	600.984092	2157.616953
1081.000000	601.050990	2159.468929
1082.000000	601.117887	2161.320494
1083.000000	601.184785	2163.171646
1084.000000	601.251682	2165.022386
1085.000000	601.318580	2166.872714
1086.000000	601.385477	2168.722631
1087.000000	601.452375	2170.572136
1088.000000	601.519272	2172.421230
1089.000000	601.586170	2174.269912
1090.000000	601.653067	2176.118184
1091.000000	601.719965	2177.966044
1092.000000	601.786862	2179.813494
1093.000000	601.853760	2181.660532
1094.000000	601.920657	2183.507161
1095.000000	601.987555	2185.353379
1096.000000	602.054452	2187.199186
1097.000000	602.121349	2189.044584
1098.000000	602.188247	2190.889571
1099.000000	602.255144	2192.734149
1100.000000	602.322042	2194.578317
1101.000000	602.388939	2196.422075
1102.000000	602.455837	2198.265424
1103.000000	602.522734	2200.108363
1104.000000	602.589632	2201.950894
1105.000000	602.656529	2203.793015
1106.000000	602.723427	2205.634727
1107.000000	602.790324	2207.476031
1108.000000	602.857222	2209.316925
1109.000000	602.924119	2211.157412
1110.000000	602.991017	2212.997490
1111.000000	603.057914	2214.837159
1112.000000	603.124812	2216.676421
1113.000000	603.191709	2218.515275
1114.000000	603.258607	2220.353720
1115.000000	603.325504	2222.191759
1116.000000	603.392401	2224.029389
1117.000000	603.459299	2225.866612
1118.000000	603.526196	2227.703428
1119.000000	603.593094	2229.539837
1120.000000	603.659991	2231.375838
1121.000000	603.726889	2233.211433
1122.000000	603.793786	2235.046621
1123.000000	603.860684	2236.881403
1124.000000	603.927581	2238.715778
1125.000000	603.994479	2240.549746
1126.000000	604.061376	2242.383308
1127.000000	604.128274	2244.216465
1128.000000	604.195171	2246.049215
1129.000000	604.262069	2247.881560
1130.000000	604.328966	2249.713499
1131.000000	604.395864	2251.545032
1132.000000	604.462761	2253.376160
1133.000000	604.529659	2255.206882
1134.000000	604.596556	2257.037200
1135.000000	604.663454	2258.867113
1136.000000	604.730351	2260.696620
1137.000000	604.797248	2262.525723
1138.000000	604.864146	2264.354422
1139.000000	604.931043	2266.182715
1140.000000	604.997941	2268.010605
1141.000000	605.064838	2269.838090
1142.000000	605.131736	2271.665172
1143.000000	605.198633	2273.491849
1144.000000	605.265531	2275.318123
1145.000000	605.332428	2277.143993
1146.000000	605.399326	2278.969459
1147.000000	605.466223	2280.794522
1148.000000	605.533121	2282.619182
1149.000000	605.600018	2284.443439
1150.000000	605.666916	2286.267292
1151.000000	605.733813	2288.090743
1152.000000	605.800711	2289.913791
1153.000000	605.867608	2291.736437
1154.000000	605.934506	2293.558680
1155.000000	606.001403	2295.380520
1156.000000	606.068300	2297.201959
1157.000000	606.135198	2299.022996
1158.000000	606.202095	2300.843630
1159.000000	606.268993	2302.663863
1160.000000	606.335890	2304.483694
1161.000000	606.402788	2306.303124
1162.000000	606.469685	2308.122152
1163.000000	606.536583	2309.940779
1164.000000	606.603480	2311.759005
1165.000000	606.670378	2313.576830
1166.000000	606.737275	2315.394253
1167.000000	606.804173	2317.211277
1168.000000	606.871070	2319.027899
1169.000000	606.937968	2320.844122
1170.000000	607.004865	2322.659944
1171.000000	607.071763	2324.475365
1172.000000	607.138660	2326.290387
1173.000000	607.205558	2328.105009
1174.000000	607.272455	2329.919230
1175.000000	607.339352	2331.733053
1176.000000	607.406250	2333.546475
1177.000000	607.473147	2335.359499
1178.000000	607.540045	2337.172123
1179.000000	607.606942	2338.984347
1180.000000	607.673840	2340.796173
1181.000000	607.740737	2342.607600
1182.000000	607.807635	2344.418629
1183.000000	607.874532	2346.229258
1184.000000	607.941430	2348.039489
1185.000000	608.008327	2349.849322
1186.000000	608.075225	2351.658757
1187.000000	608.142122	2353.467793
1188.000000	608.209020	2355.276432
1189.000000	608.275917	2357.084673
1190.000000	608.342815	2358.892516
1191.000000	608.409712	2360.699961
1192.000000	608.476610	2362.507009
1193.000000	608.543507	2364.313660
1194.000000	608.610405	2366.119913
1195.000000	608.677302	2367.925770
1196.000000	608.744199	2369.731229
1197.000000	608.811097	2371.536292
1198.000000	608.877994	2373.340959
1199.000000	608.944892	2375.145228
1200.000000	609.011789	2376.949102
1201.000000	609.078687	2378.752579
1202.000000	609.145584	2380.555660
1203.000000	609.212482	2382.358344
1204.000000	609.279379	2384.160634
1205.000000	609.346277	2385.962527
1206.000000	609.413174	2387.764025
1207.000000	609.480072	2389.565127
1208.000000	609.546969	2391.365834
1209.000000	609.613867	2393.166146
1210.000000	609.680764	2394.966062
1211.000000	609.747662	2396.765584
1212.000000	609.814559	2398.564711
1213.000000	609.881457	2400.363443
1214.000000	609.948354	2402.161781
1215.000000	610.015251	2403.959724
1216.000000	610.082149	2405.757273
1217.000000	610.149046	2407.554427
1218.000000	610.215944	2409.351188
1219.000000	610.282841	2411.147555
1220.000000	610.349739	2412.943528
1221.000000	610.416636	2414.739107
1222.000000	610.483534	2416.534293
1223.000000	610.550431	2418.329085
1224.000000	610.617329	2420.123485
1225.000000	610.684226	2421.917491
1226.000000	610.751124	2423.711104
1227.000000	610.818021	2425.504324
1228.000000	610.884919	2427.297151
1229.000000	610.951816	2429.089586
1230.000000	611.018714	2430.881628
1231.000000	611.085611	2432.673278
1232.000000	611.152509	2434.464536
1233.000000	611.219406	2436.255401
1234.000000	611.286303	2438.045875
1235.000000	611.353201	2439.835957
1236.000000	611.420098	2441.625647
1237.000000	611.486996	2443.414945
1238.000000	611.553893	2445.203852
1239.000000	611.620791	2446.992368
1240.000000	611.687688	2448.780492
1241.000000	611.754586	2450.568226
1242.000000	611.821483	2452.355568
1243.000000	611.888381	2454.142520
1244.000000	611.955278	2455.929081
1245.000000	612.022176	2457.715251
1246.000000	612.089073	2459.501031
1247.000000	612.155971	2461.286421
1248.000000	612.222868	2463.071420
1249.000000	612.289766	2464.856029
1250.000000	612.356663	2466.640249
1251.000000	612.423561	2468.424079
1252.000000	612.490458	2470.207519
1253.000000	612.557356	2471.990569
1254.000000	612.624253	2473.773230
1255.000000	612.691150	2475.555502
1256.000000	612.758048	2477.337385
1257.000000	612.824945	2479.118878
1258.000000	612.891843	2480.899983
1259.000000	612.958740	2482.680699
1260.000000	613.025638	2484.461026
1261.000000	613.092535	2486.240965
1262.000000	613.159433	2488.020515
1263.000000	613.226330	2489.799677
1264.000000	613.293228	2491.578451
1265.000000	613.360125	2493.356837
1266.000000	613.427023	2495.134835
1267.000000	613.493920	2496.912445
1268.000000	613.560818	2498.689668
1269.000000	613.627715	2500.466503
1270.000000	613.694613	2502.242951
1271.000000	613.761510	2504.019012
1272.000000	613.828408	2505.794685
1273.000000	613.895305	2507.569971
1274.000000	613.962202	2509.344871
1275.000000	614.029100	2511.119384
1276.000000	614.095997	2512.893510
1277.000000	614.162895	2514.667250
1278.000000	614.229792	2516.440603
1279.000000	614.296690	2518.213570
1280.000000	614.363587	2519.986151
1281.000000	614.430485	2521.758346
1282.000000	614.497382	2523.530155
1283.000000	614.564280	2525.301578
1284.000000	614.631177	2527.072616
1285.000000	614.698075	2528.843268
1286.000000	614.764972	2530.613535
1287.000000	614.831870	2532.383417
1288.000000	614.898767	2534.152914
1289.000000	614.965665	2535.922025
1290.000000	615.032562	2537.690752
1291.000000	615.099460	2539.459094
1292.000000	615.166357	2541.227051
1293.000000	615.233254	2542.994624
1294.000000	615.300152	2544.761813
1295.000000	615.367049	2546.528617
1296.000000	615.433947	2548.295038
1297.000000	615.500844	2550.061074
1298.000000	615.567742	2551.826726
1299.000000	615.634639	2553.591995
1300.000000	615.701537	2555.356880
1301.000000	615.768434	2557.121382
1302.000000	615.835332	2558.885500
1303.000000	615.902229	2560.649235
1304.000000	615.969127	2562.412587
1305.000000	616.036024	2564.175556
1306.000000	616.102922	2565.938142
1307.000000	616.169819	2567.700346
1308.000000	616.236717	2569.462166
1309.000000	616.303614	2571.223605
1310.000000	616.370512	2572.984661
1311.000000	616.437409	2574.745334
1312.000000	616.504307	2576.505626
1313.000000	616.571204	2578.265536
1314.000000	616.638101	2580.025063
1315.000000	616.704999	2581.784209
1316.000000	616.771896	2583.542974
1317.000000	616.838794	2585.301357
1318.000000	616.905691	2587.059358
1319.000000	616.972589	2588.816979
1320.000000	617.039486	2590.574218
1321.000000	617.106384	2592.331076
1322.000000	617.173281	2594.087554
1323.000000	617.240179	2595.843650
1324.000000	617.307076	2597.599366
1325.000000	617.373974	2599.354702
1326.000000	617.440871	2601.109657
1327.000000	617.507769	2602.864232
1328.000000	617.574666	2604.618427
1329.000000	617.641564	2606.372242
1330.000000	617.708461	2608.125677
1331.000000	617.775359	2609.878732
1332.000000	617.842256	2611.631407
1333.000000	617.909153	2613.383704
1334.000000	617.976051	2615.135620
1335.000000	618.042948	2616.887158
1336.000000	618.109846	2618.638316
1337.000000	618.176743	2620.389095
1338.000000	618.243641	2622.139496
1339.000000	618.310538	2623.889517
